bookdate,bookttl,bookauthor,item-athr
10月1日,女王陛下の秘密の恋  ,星合操  ,DaitoComics／一般コミックス
10月1日,蒼き鋼のアルペジオ（18）  ,Ａｒｋ　Ｐｅｒｆｏｒｍａｎｃｅ  ,YKコミックス
10月1日,メンタルモデル・リサーチ（１）  ,一葵さやか  ,YKコミックス
10月1日,キューナナハチヨン（１）  ,ヤマモトマナブ  ,YKコミックス
10月1日,ステアリング・アイズ  ,日野ガラス  ,あすかコミックスCL-DX
10月1日,メロと恋の魔法（１）  ,篠塚ひろむ  ,ちゃおコミックス
10月1日,ねこ、はじめました（６）  ,環方このみ  ,ちゃおコミックス
10月1日,恋するメゾン（２）  ,八神千歳  ,ちゃおコミックス
10月1日,水色時代　ベストセレクション　MI・JU・KU  ,やぶうち優  ,ちゃおコミックス
10月1日,こっちむいてみい子！ベストセレクション　まるごとみい子！  ,おのえりこ  ,ちゃおコミックス
10月1日,花鳥風月（８）  ,志水ゆき  ,ディアプラス・コミックス
10月1日,糸永くんの恋の糸（２）  ,奥田枠  ,ディアプラス・コミックス
10月1日,僕の美しいひと  ,カシオ  ,ディアプラス・コミックス
10月1日,ハートのときめき  ,原ちえこ  ,ハーレクインコミックス
10月1日,半年だけのシンデレラ  ,瑚白ゆう  ,ハーレクインコミックス
10月1日,不機嫌な公爵  ,牧あけみ  ,ハーレクインコミックス
10月1日,結婚という名の悪夢  ,井上洋子  ,ハーレクインコミックス
10月1日,ひと夏だけの情熱  ,東里桐子  ,ハーレクインコミックス
10月1日,気まぐれな遺言  ,よこたようこ  ,ハーレクインコミックス
10月1日,この愛が罪でも  ,夏生恒  ,ハーレクインコミックス・ダイヤ
10月1日,氷の誘惑  ,篠崎佳久子  ,ハーレクインコミックス・ダイヤ
10月1日,究極のコミュ障オタク女子の私がソシャゲの世界にきたけど、推しが尊すぎてつらい（４）  ,悦若えつこ  ,ミッシィコミックス　NextcomicsF
10月1日,熱愛プリンス　お兄ちゃんはキミが好き（13）  ,青月まどか  ,ミッシィコミックス　NextcomicsF
10月1日,浮世初恋絵巻（２）  ,ナガトカヨ  ,ミッシィコミックス　NextcomicsF
10月1日,バード　BLACK MARKET（８）  ,青山広美  ,近代麻雀コミックス
10月1日,クローズ外伝　鳳仙花　the beginning of HOUSEN（６）  ,髙橋ヒロシ  ,少年チャンピオン・コミックス・エクストラ
10月1日,新装版　WORST（９）  ,髙橋ヒロシ  ,少年チャンピオン・コミックス・エクストラ
10月1日,新装版　WORST（10）  ,髙橋ヒロシ  ,少年チャンピオン・コミックス・エクストラ
10月3日,スーツのあとは制服で  ,チキンたまご  ,drapコミックスDX
10月4日,復讐を誓った白猫は竜王の膝の上で惰眠をむさぼる（３）  ,あき  ,FLOS COMIC
10月4日,転生魔女は滅びを告げる（２）  ,ｓｏｒａ  ,FLOS COMIC
10月4日,外科医エリーゼ（２）  ,ｍｉｎｉ　／　ＫＩＤＡＲＩＥＮＴ  ,FLOS COMIC
10月4日,彼女が侯爵邸に行った理由（１）  ,未定  ,FLOS COMIC
10月4日,兎の森（１）  ,苑生  ,H＆C Comics／CRAFTシリーズ
10月4日,その名前を君は知らない  ,四宮和  ,H＆C Comics／ihr HertZシリーズ
10月4日,サイレントメビウスQD（４）  ,麻宮騎亜  ,KCデラックス
10月4日,サイレントメビウスQD（５）  ,麻宮騎亜  ,KCデラックス
10月4日,ナナマル　サンバツ（18）  ,杉基イクラ  ,カドカワコミックスA
10月4日,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか？（３）  ,冥茶  ,カドカワコミックスA
10月4日,異世界おもてなしご飯（４）  ,忍丸  ,カドカワコミックスA
10月4日,ヘテロゲニア　リンギスティコ　～異種族言語学入門～（２）  ,瀬野反人  ,カドカワコミックスA
10月4日,世界最高の暗殺者、異世界貴族に転生する（１）  ,皇ハマオ  ,カドカワコミックスA
10月4日,異世界建国記（４）  ,ＫＯＩＺＵＭＩ  ,カドカワコミックスA
10月4日,理想のヒモ生活（７）  ,日月ネコ  ,カドカワコミックスA
10月4日,俺を好きなのはお前だけかよ（４）  ,伊島ユウ  ,ジャンプコミックス
